 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, 50.0 ,15.0 ,30.0 ,10.0 ,5.0 ,10.0 ,10.0 ,None ,5.0 ,None ,None ,None ,None ,5.0 ,10.0 ,None ,None ,None ,None ,15.0 ,None ,None ,5.0 ,5.0 ,5.0 ,None ,5.0 ,5.0 ,5.0
07:45, 50.0 ,15.0 ,30.0 ,10.0 ,5.0 ,10.0 ,10.0 ,None ,5.0 ,None ,None ,None ,None ,5.0 ,10.0 ,None ,None ,None ,None ,15.0 ,None ,None ,5.0 ,5.0 ,5.0 ,None ,5.0 ,5.0 ,5.0
08:15, 40.0 ,30.0 ,30.0 ,None ,42.0 ,50.0 ,45.0 ,None ,None ,None ,None ,None ,None ,40.0 ,50.0 ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
08:45, 40.0 ,24.0 ,26.0 ,26.0 ,23.0 ,18.0 ,26.0 ,23.0 ,None ,None ,None ,None ,None ,10.0 ,20.0 ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
09:15, 56.0 ,27.0 ,31.0 ,22.0 ,5.0 ,22.0 ,19.0 ,13.0 ,9.0 ,None ,None ,None ,None ,8.0 ,5.0 ,None ,None ,None ,None ,8.0 ,None ,None ,None ,7.0 ,6.0 ,None ,None ,None ,18.0
09:45, 55.0 ,31.0 ,34.0 ,18.0 ,20.0 ,17.0 ,16.0 ,29.0 ,14.0 ,None ,None ,None ,None ,19.0 ,31.0 ,None ,None ,None ,None ,7.0 ,None ,None ,8.0 ,5.0 ,8.0 ,None ,28.0 ,6.0 ,13.0
10:15, 80.0 ,33.0 ,40.0 ,20.0 ,14.0 ,15.0 ,10.0 ,14.0 ,11.0 ,None ,None ,None ,None ,12.0 ,11.0 ,None ,None ,None ,None ,9.0 ,None ,None ,5.0 ,6.0 ,5.0 ,None ,10.0 ,5.0 ,10.0
10:45, 80.0 ,43.0 ,48.0 ,28.0 ,8.0 ,20.0 ,11.0 ,18.0 ,11.0 ,None ,None ,None ,None ,16.0 ,6.0 ,None ,None ,None ,None ,9.0 ,None ,None ,5.0 ,5.0 ,6.0 ,None ,9.0 ,5.0 ,8.0
11:15, 76.0 ,39.0 ,43.0 ,35.0 ,13.0 ,24.0 ,16.0 ,21.0 ,12.0 ,None ,None ,None ,None ,22.0 ,7.0 ,None ,None ,None ,None ,12.0 ,None ,None ,5.0 ,5.0 ,6.0 ,None ,10.0 ,8.0 ,10.0
11:45, 69.0 ,23.0 ,32.0 ,34.0 ,14.0 ,25.0 ,15.0 ,17.0 ,11.0 ,None ,None ,None ,None ,22.0 ,6.0 ,None ,None ,None ,None ,12.0 ,None ,None ,5.0 ,5.0 ,6.0 ,None ,8.0 ,5.0 ,11.0
12:15, 64.0 ,21.0 ,31.0 ,30.0 ,14.0 ,25.0 ,17.0 ,17.0 ,14.0 ,None ,None ,None ,None ,20.0 ,6.0 ,None ,None ,None ,None ,11.0 ,None ,None ,5.0 ,6.0 ,6.0 ,None ,7.0 ,10.0 ,16.0
12:45, 60.0 ,21.0 ,36.0 ,25.0 ,12.0 ,20.0 ,14.0 ,13.0 ,13.0 ,None ,None ,None ,None ,22.0 ,5.0 ,None ,None ,None ,None ,11.0 ,None ,None ,5.0 ,6.0 ,6.0 ,None ,6.0 ,7.0 ,16.0
13:15, 61.0 ,18.0 ,32.0 ,21.0 ,10.0 ,20.0 ,12.0 ,14.0 ,13.0 ,None ,None ,None ,None ,21.0 ,5.0 ,None ,None ,None ,None ,11.0 ,None ,None ,5.0 ,6.0 ,6.0 ,None ,6.0 ,6.0 ,14.0
13:45, 63.0 ,24.0 ,37.0 ,25.0 ,12.0 ,22.0 ,11.0 ,17.0 ,13.0 ,None ,None ,None ,None ,24.0 ,5.0 ,None ,None ,None ,None ,12.0 ,None ,None ,5.0 ,6.0 ,7.0 ,None ,7.0 ,6.0 ,14.0
14:15, 68.0 ,29.0 ,40.0 ,27.0 ,13.0 ,26.0 ,17.0 ,23.0 ,15.0 ,None ,None ,None ,None ,25.0 ,5.0 ,None ,None ,None ,None ,13.0 ,None ,None ,5.0 ,8.0 ,9.0 ,None ,8.0 ,11.0 ,19.0
14:45, 71.0 ,31.0 ,41.0 ,26.0 ,10.0 ,26.0 ,18.0 ,23.0 ,15.0 ,None ,None ,None ,None ,26.0 ,5.0 ,None ,None ,None ,None ,13.0 ,None ,None ,5.0 ,8.0 ,10.0 ,None ,8.0 ,6.0 ,20.0
15:15, 74.0 ,31.0 ,44.0 ,28.0 ,10.0 ,25.0 ,15.0 ,21.0 ,15.0 ,None ,None ,None ,None ,28.0 ,6.0 ,None ,None ,None ,None ,15.0 ,None ,None ,5.0 ,8.0 ,10.0 ,None ,8.0 ,6.0 ,18.0
