 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,None ,0.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,0.0 ,0.0 ,0.0
07:45, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,None ,0.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,0.0 ,0.0 ,0.0
08:15, 100.0 ,0.0 ,0.0 ,None ,6.0 ,0.0 ,0.0 ,None ,None ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
08:45, 378.0 ,78.0 ,67.0 ,155.0 ,156.0 ,22.0 ,214.0 ,89.0 ,None ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
09:15, 993.0 ,97.0 ,151.0 ,186.0 ,0.0 ,168.0 ,242.0 ,14.0 ,4.0 ,None ,None ,None ,None ,6.0 ,0.0 ,None ,None ,None ,None ,6.0 ,None ,None ,None ,6.0 ,5.0 ,None ,None ,None ,181.0
09:45, 1299.0 ,191.0 ,243.0 ,36.0 ,656.0 ,30.0 ,88.0 ,280.0 ,174.0 ,None ,None ,None ,None ,186.0 ,691.0 ,None ,None ,None ,None ,6.0 ,None ,None ,22.0 ,0.0 ,77.0 ,None ,556.0 ,5.0 ,149.0
10:15, 560.0 ,150.0 ,173.0 ,180.0 ,268.0 ,16.0 ,16.0 ,39.0 ,8.0 ,None ,None ,None ,None ,18.0 ,65.0 ,None ,None ,None ,None ,18.0 ,None ,None ,0.0 ,2.0 ,1.0 ,None ,50.0 ,0.0 ,109.0
10:45, 493.0 ,233.0 ,150.0 ,250.0 ,28.0 ,51.0 ,11.0 ,48.0 ,9.0 ,None ,None ,None ,None ,68.0 ,11.0 ,None ,None ,None ,None ,43.0 ,None ,None ,0.0 ,2.0 ,4.0 ,None ,41.0 ,0.0 ,60.0
11:15, 460.0 ,332.0 ,181.0 ,298.0 ,58.0 ,69.0 ,29.0 ,65.0 ,14.0 ,None ,None ,None ,None ,83.0 ,19.0 ,None ,None ,None ,None ,64.0 ,None ,None ,1.0 ,0.0 ,8.0 ,None ,29.0 ,25.0 ,47.0
11:45, 349.0 ,88.0 ,75.0 ,297.0 ,56.0 ,64.0 ,36.0 ,54.0 ,10.0 ,None ,None ,None ,None ,45.0 ,14.0 ,None ,None ,None ,None ,63.0 ,None ,None ,1.0 ,1.0 ,3.0 ,None ,17.0 ,3.0 ,38.0
12:15, 331.0 ,69.0 ,70.0 ,157.0 ,54.0 ,77.0 ,50.0 ,58.0 ,30.0 ,None ,None ,None ,None ,28.0 ,8.0 ,None ,None ,None ,None ,46.0 ,None ,None ,1.0 ,3.0 ,4.0 ,None ,8.0 ,38.0 ,156.0
12:45, 352.0 ,45.0 ,85.0 ,107.0 ,60.0 ,67.0 ,30.0 ,37.0 ,22.0 ,None ,None ,None ,None ,41.0 ,0.0 ,None ,None ,None ,None ,55.0 ,None ,None ,1.0 ,5.0 ,8.0 ,None ,7.0 ,12.0 ,173.0
13:15, 316.0 ,78.0 ,71.0 ,91.0 ,49.0 ,69.0 ,24.0 ,34.0 ,26.0 ,None ,None ,None ,None ,38.0 ,0.0 ,None ,None ,None ,None ,62.0 ,None ,None ,1.0 ,11.0 ,4.0 ,None ,11.0 ,10.0 ,111.0
13:45, 217.0 ,111.0 ,73.0 ,99.0 ,63.0 ,70.0 ,18.0 ,21.0 ,24.0 ,None ,None ,None ,None ,29.0 ,1.0 ,None ,None ,None ,None ,63.0 ,None ,None ,1.0 ,11.0 ,19.0 ,None ,19.0 ,10.0 ,70.0
14:15, 336.0 ,61.0 ,83.0 ,107.0 ,69.0 ,69.0 ,86.0 ,73.0 ,36.0 ,None ,None ,None ,None ,48.0 ,1.0 ,None ,None ,None ,None ,64.0 ,None ,None ,1.0 ,11.0 ,40.0 ,None ,19.0 ,40.0 ,148.0
14:45, 384.0 ,113.0 ,125.0 ,85.0 ,28.0 ,82.0 ,53.0 ,95.0 ,47.0 ,None ,None ,None ,None ,30.0 ,1.0 ,None ,None ,None ,None ,57.0 ,None ,None ,1.0 ,11.0 ,46.0 ,None ,14.0 ,8.0 ,184.0
15:15, 355.0 ,87.0 ,96.0 ,130.0 ,29.0 ,68.0 ,53.0 ,56.0 ,55.0 ,None ,None ,None ,None ,31.0 ,8.0 ,None ,None ,None ,None ,89.0 ,None ,None ,1.0 ,16.0 ,70.0 ,None ,21.0 ,8.0 ,122.0
15:45, 340.0 ,89.0 ,131.0 ,131.0 ,30.0 ,110.0 ,23.0 ,40.0 ,47.0 ,None ,None ,None ,None ,36.0 ,4.0 ,None ,None ,None ,None ,86.0 ,None ,None ,1.0 ,27.0 ,37.0 ,None ,19.0 ,8.0 ,178.0
