 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, None ,35.0 ,None ,30.0 ,15.0 ,5.0 ,20.0 ,5.0 ,20.0 ,None ,None ,None ,None ,15.0 ,10.0 ,None ,None ,None ,None ,25.0 ,None ,None ,5.0 ,5.0 ,20.0 ,None ,5.0 ,5.0 ,10.0
07:45, None ,35.0 ,None ,30.0 ,15.0 ,5.0 ,20.0 ,5.0 ,20.0 ,None ,None ,None ,None ,15.0 ,10.0 ,None ,None ,None ,None ,25.0 ,None ,None ,5.0 ,5.0 ,20.0 ,None ,5.0 ,5.0 ,10.0
08:15, 52.0 ,21.0 ,23.0 ,18.0 ,13.0 ,21.0 ,22.0 ,20.0 ,10.0 ,None ,None ,None ,None ,10.0 ,7.0 ,None ,None ,None ,None ,12.0 ,None ,None ,None ,9.0 ,20.0 ,None ,None ,None ,8.0
08:45, 104.0 ,27.0 ,38.0 ,17.0 ,8.0 ,20.0 ,17.0 ,17.0 ,10.0 ,None ,None ,None ,None ,10.0 ,8.0 ,None ,None ,None ,None ,10.0 ,None ,None ,None ,8.0 ,12.0 ,None ,None ,5.0 ,9.0
09:15, 85.0 ,39.0 ,44.0 ,25.0 ,6.0 ,18.0 ,22.0 ,19.0 ,12.0 ,None ,None ,None ,None ,14.0 ,11.0 ,None ,None ,None ,None ,13.0 ,None ,None ,5.0 ,5.0 ,6.0 ,None ,7.0 ,6.0 ,11.0
09:45, 97.0 ,39.0 ,46.0 ,30.0 ,13.0 ,24.0 ,26.0 ,28.0 ,18.0 ,None ,None ,None ,None ,24.0 ,15.0 ,None ,None ,None ,None ,19.0 ,None ,None ,5.0 ,9.0 ,14.0 ,None ,16.0 ,11.0 ,20.0
10:15, 142.0 ,59.0 ,69.0 ,32.0 ,15.0 ,23.0 ,27.0 ,30.0 ,18.0 ,None ,None ,None ,None ,22.0 ,14.0 ,None ,None ,None ,None ,22.0 ,None ,None ,5.0 ,9.0 ,12.0 ,None ,23.0 ,11.0 ,19.0
10:45, 142.0 ,69.0 ,75.0 ,52.0 ,18.0 ,30.0 ,33.0 ,35.0 ,21.0 ,None ,None ,None ,None ,27.0 ,14.0 ,None ,None ,None ,None ,20.0 ,None ,None ,6.0 ,8.0 ,13.0 ,None ,17.0 ,7.0 ,19.0
11:15, 133.0 ,66.0 ,72.0 ,59.0 ,27.0 ,37.0 ,42.0 ,39.0 ,24.0 ,None ,None ,None ,None ,33.0 ,17.0 ,None ,None ,None ,None ,26.0 ,None ,None ,6.0 ,10.0 ,14.0 ,None ,19.0 ,11.0 ,27.0
11:45, 121.0 ,54.0 ,59.0 ,59.0 ,30.0 ,40.0 ,44.0 ,37.0 ,25.0 ,None ,None ,None ,None ,31.0 ,16.0 ,None ,None ,None ,None ,31.0 ,None ,None ,6.0 ,11.0 ,16.0 ,None ,15.0 ,8.0 ,30.0
