 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, None ,0.0 ,None ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,0.0 ,0.0 ,0.0
07:45, None ,0.0 ,None ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,0.0 ,0.0 ,0.0
08:15, 553.0 ,56.0 ,44.0 ,86.0 ,222.0 ,88.0 ,97.0 ,47.0 ,0.0 ,None ,None ,None ,None ,25.0 ,6.0 ,None ,None ,None ,None ,22.0 ,None ,None ,None ,17.0 ,1006.0 ,None ,None ,None ,22.0
08:45, 3073.0 ,85.0 ,133.0 ,81.0 ,40.0 ,81.0 ,72.0 ,67.0 ,0.0 ,None ,None ,None ,None ,5.0 ,45.0 ,None ,None ,None ,None ,9.0 ,None ,None ,None ,374.0 ,512.0 ,None ,None ,672.0 ,321.0
09:15, 4326.0 ,289.0 ,447.0 ,225.0 ,10.0 ,83.0 ,95.0 ,114.0 ,20.0 ,None ,None ,None ,None ,103.0 ,51.0 ,None ,None ,None ,None ,33.0 ,None ,None ,0.0 ,56.0 ,36.0 ,None ,6.0 ,154.0 ,73.0
09:45, 4113.0 ,459.0 ,592.0 ,580.0 ,149.0 ,92.0 ,319.0 ,145.0 ,131.0 ,None ,None ,None ,None ,128.0 ,194.0 ,None ,None ,None ,None ,193.0 ,None ,None ,2.0 ,144.0 ,147.0 ,None ,256.0 ,386.0 ,129.0
10:15, 1082.0 ,308.0 ,231.0 ,492.0 ,131.0 ,161.0 ,515.0 ,163.0 ,151.0 ,None ,None ,None ,None ,114.0 ,141.0 ,None ,None ,None ,None ,241.0 ,None ,None ,1.0 ,56.0 ,112.0 ,None ,282.0 ,134.0 ,202.0
10:45, 882.0 ,386.0 ,250.0 ,227.0 ,125.0 ,193.0 ,498.0 ,193.0 ,140.0 ,None ,None ,None ,None ,146.0 ,140.0 ,None ,None ,None ,None ,291.0 ,None ,None ,6.0 ,73.0 ,122.0 ,None ,137.0 ,41.0 ,359.0
11:15, 912.0 ,515.0 ,320.0 ,204.0 ,134.0 ,153.0 ,438.0 ,161.0 ,134.0 ,None ,None ,None ,None ,85.0 ,105.0 ,None ,None ,None ,None ,280.0 ,None ,None ,9.0 ,131.0 ,129.0 ,None ,102.0 ,79.0 ,615.0
11:45, 1045.0 ,238.0 ,217.0 ,226.0 ,124.0 ,110.0 ,472.0 ,207.0 ,96.0 ,None ,None ,None ,None ,72.0 ,109.0 ,None ,None ,None ,None ,238.0 ,None ,None ,7.0 ,81.0 ,121.0 ,None ,59.0 ,37.0 ,562.0
12:15, 1001.0 ,229.0 ,180.0 ,258.0 ,120.0 ,158.0 ,528.0 ,222.0 ,91.0 ,None ,None ,None ,None ,112.0 ,67.0 ,None ,None ,None ,None ,179.0 ,None ,None ,6.0 ,100.0 ,178.0 ,None ,87.0 ,80.0 ,523.0
12:45, 919.0 ,188.0 ,237.0 ,222.0 ,106.0 ,168.0 ,518.0 ,208.0 ,121.0 ,None ,None ,None ,None ,104.0 ,69.0 ,None ,None ,None ,None ,167.0 ,None ,None ,5.0 ,90.0 ,182.0 ,None ,73.0 ,54.0 ,534.0
13:15, 1024.0 ,144.0 ,182.0 ,286.0 ,115.0 ,153.0 ,448.0 ,172.0 ,121.0 ,None ,None ,None ,None ,93.0 ,74.0 ,None ,None ,None ,None ,167.0 ,None ,None ,4.0 ,96.0 ,201.0 ,None ,79.0 ,25.0 ,544.0
13:45, 1203.0 ,153.0 ,204.0 ,231.0 ,126.0 ,92.0 ,404.0 ,134.0 ,104.0 ,None ,None ,None ,None ,92.0 ,79.0 ,None ,None ,None ,None ,158.0 ,None ,None ,5.0 ,222.0 ,182.0 ,None ,37.0 ,37.0 ,550.0
14:15, 1296.0 ,126.0 ,149.0 ,243.0 ,86.0 ,95.0 ,360.0 ,158.0 ,109.0 ,None ,None ,None ,None ,100.0 ,70.0 ,None ,None ,None ,None ,170.0 ,None ,None ,6.0 ,160.0 ,190.0 ,None ,52.0 ,76.0 ,527.0
14:45, 1304.0 ,170.0 ,182.0 ,296.0 ,80.0 ,117.0 ,361.0 ,146.0 ,101.0 ,None ,None ,None ,None ,137.0 ,65.0 ,None ,None ,None ,None ,199.0 ,None ,None ,8.0 ,186.0 ,192.0 ,None ,34.0 ,71.0 ,610.0
15:15, 1221.0 ,158.0 ,180.0 ,255.0 ,99.0 ,113.0 ,396.0 ,206.0 ,82.0 ,None ,None ,None ,None ,134.0 ,69.0 ,None ,None ,None ,None ,222.0 ,None ,None ,15.0 ,192.0 ,132.0 ,None ,50.0 ,64.0 ,548.0
15:45, 910.0 ,251.0 ,267.0 ,310.0 ,105.0 ,130.0 ,384.0 ,195.0 ,127.0 ,None ,None ,None ,None ,105.0 ,72.0 ,None ,None ,None ,None ,215.0 ,None ,None ,17.0 ,245.0 ,184.0 ,None ,50.0 ,51.0 ,578.0
16:15, 522.0 ,216.0 ,231.0 ,296.0 ,127.0 ,88.0 ,436.0 ,156.0 ,99.0 ,None ,None ,None ,None ,100.0 ,65.0 ,None ,None ,None ,None ,198.0 ,None ,None ,12.0 ,167.0 ,123.0 ,None ,52.0 ,86.0 ,584.0
16:45, 343.0 ,249.0 ,223.0 ,275.0 ,122.0 ,117.0 ,464.0 ,185.0 ,103.0 ,None ,None ,None ,None ,79.0 ,60.0 ,None ,None ,None ,None ,161.0 ,None ,None ,7.0 ,208.0 ,158.0 ,None ,51.0 ,62.0 ,445.0
17:15, 368.0 ,188.0 ,173.0 ,337.0 ,83.0 ,163.0 ,444.0 ,166.0 ,93.0 ,None ,None ,None ,None ,118.0 ,60.0 ,None ,None ,None ,None ,175.0 ,None ,None ,9.0 ,198.0 ,195.0 ,None ,77.0 ,97.0 ,375.0
17:45, 942.0 ,128.0 ,55.0 ,187.0 ,90.0 ,149.0 ,247.0 ,170.0 ,92.0 ,None ,None ,None ,None ,98.0 ,70.0 ,None ,None ,None ,None ,135.0 ,None ,None ,10.0 ,122.0 ,168.0 ,None ,29.0 ,58.0 ,286.0
18:15, 25.0 ,25.0 ,25.0 ,536.0 ,91.0 ,59.0 ,112.0 ,83.0 ,79.0 ,None ,None ,None ,None ,98.0 ,106.0 ,None ,None ,None ,None ,71.0 ,None ,None ,17.0 ,73.0 ,93.0 ,None ,12.0 ,75.0 ,145.0
18:45, 0.0 ,0.0 ,0.0 ,406.0 ,56.0 ,67.0 ,78.0 ,267.0 ,106.0 ,None ,None ,None ,None ,250.0 ,92.0 ,None ,None ,None ,None ,163.0 ,None ,None ,5.0 ,91.0 ,85.0 ,None ,6.0 ,50.0 ,119.0
19:15, 400.0 ,400.0 ,900.0 ,672.0 ,55.0 ,88.0 ,217.0 ,372.0 ,156.0 ,None ,None ,None ,None ,242.0 ,55.0 ,None ,None ,None ,None ,106.0 ,None ,None ,6.0 ,80.0 ,92.0 ,None ,25.0 ,56.0 ,144.0
19:45, 0.0 ,0.0 ,0.0 ,25.0 ,25.0 ,0.0 ,100.0 ,56.0 ,25.0 ,None ,None ,None ,None ,6.0 ,6.0 ,None ,None ,None ,None ,6.0 ,None ,None ,0.0 ,0.0 ,17.0 ,None ,0.0 ,0.0 ,0.0
20:15, None ,0.0 ,None ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,0.0 ,0.0 ,0.0
20:45, None ,0.0 ,None ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,0.0 ,0.0 ,0.0
