 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
07:45, 30.0 ,30.0 ,30.0 ,None ,45.0 ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
08:15, 119.0 ,33.0 ,43.0 ,19.0 ,11.0 ,21.0 ,23.0 ,17.0 ,10.0 ,None ,None ,None ,None ,15.0 ,30.0 ,None ,None ,None ,None ,12.0 ,None ,None ,None ,20.0 ,15.0 ,None ,40.0 ,5.0 ,None
08:45, 171.0 ,48.0 ,56.0 ,24.0 ,6.0 ,19.0 ,25.0 ,21.0 ,14.0 ,None ,None ,None ,None ,8.0 ,7.0 ,None ,None ,None ,None ,14.0 ,None ,None ,None ,5.0 ,6.0 ,None ,22.0 ,22.0 ,7.0
09:15, 193.0 ,67.0 ,79.0 ,52.0 ,10.0 ,30.0 ,36.0 ,36.0 ,25.0 ,None ,None ,None ,None ,21.0 ,20.0 ,None ,None ,None ,None ,25.0 ,None ,None ,5.0 ,7.0 ,11.0 ,None ,16.0 ,11.0 ,17.0
09:45, 213.0 ,84.0 ,98.0 ,79.0 ,24.0 ,48.0 ,66.0 ,48.0 ,37.0 ,None ,None ,None ,None ,42.0 ,32.0 ,None ,None ,None ,None ,45.0 ,None ,None ,7.0 ,12.0 ,18.0 ,None ,20.0 ,9.0 ,27.0
10:15, 221.0 ,97.0 ,106.0 ,98.0 ,28.0 ,49.0 ,77.0 ,51.0 ,47.0 ,None ,None ,None ,None ,47.0 ,38.0 ,None ,None ,None ,None ,55.0 ,None ,None ,11.0 ,17.0 ,27.0 ,None ,22.0 ,18.0 ,49.0
10:45, 214.0 ,94.0 ,108.0 ,101.0 ,42.0 ,52.0 ,78.0 ,54.0 ,52.0 ,None ,None ,None ,None ,44.0 ,39.0 ,None ,None ,None ,None ,58.0 ,None ,None ,16.0 ,36.0 ,47.0 ,None ,28.0 ,29.0 ,66.0
11:15, 206.0 ,97.0 ,107.0 ,104.0 ,48.0 ,55.0 ,79.0 ,55.0 ,56.0 ,None ,None ,None ,None ,48.0 ,34.0 ,None ,None ,None ,None ,61.0 ,None ,None ,18.0 ,43.0 ,44.0 ,None ,30.0 ,24.0 ,64.0
11:45, 196.0 ,93.0 ,102.0 ,97.0 ,43.0 ,53.0 ,79.0 ,48.0 ,49.0 ,None ,None ,None ,None ,39.0 ,27.0 ,None ,None ,None ,None ,68.0 ,None ,None ,16.0 ,44.0 ,43.0 ,None ,26.0 ,28.0 ,66.0
