 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
07:45, 0.0 ,0.0 ,0.0 ,None ,0.0 ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
08:15, 2121.0 ,61.0 ,150.0 ,28.0 ,42.0 ,19.0 ,42.0 ,6.0 ,0.0 ,None ,None ,None ,None ,100.0 ,0.0 ,None ,None ,None ,None ,14.0 ,None ,None ,None ,0.0 ,100.0 ,None ,0.0 ,0.0 ,None
08:45, 921.0 ,294.0 ,240.0 ,54.0 ,3.0 ,19.0 ,272.0 ,223.0 ,30.0 ,None ,None ,None ,None ,22.0 ,6.0 ,None ,None ,None ,None ,28.0 ,None ,None ,None ,0.0 ,3.0 ,None ,6.0 ,556.0 ,6.0
09:15, 400.0 ,167.0 ,82.0 ,94.0 ,28.0 ,283.0 ,377.0 ,258.0 ,106.0 ,None ,None ,None ,None ,69.0 ,139.0 ,None ,None ,None ,None ,67.0 ,None ,None ,0.0 ,12.0 ,36.0 ,None ,46.0 ,247.0 ,40.0
09:45, 422.0 ,336.0 ,317.0 ,43.0 ,23.0 ,212.0 ,348.0 ,128.0 ,178.0 ,None ,None ,None ,None ,89.0 ,56.0 ,None ,None ,None ,None ,56.0 ,None ,None ,6.0 ,6.0 ,28.0 ,None ,28.0 ,17.0 ,123.0
10:15, 1010.0 ,283.0 ,143.0 ,100.0 ,22.0 ,130.0 ,406.0 ,171.0 ,125.0 ,None ,None ,None ,None ,83.0 ,117.0 ,None ,None ,None ,None ,122.0 ,None ,None ,32.0 ,12.0 ,95.0 ,None ,28.0 ,61.0 ,299.0
10:45, 602.0 ,319.0 ,356.0 ,130.0 ,190.0 ,73.0 ,289.0 ,130.0 ,81.0 ,None ,None ,None ,None ,82.0 ,75.0 ,None ,None ,None ,None ,51.0 ,None ,None ,41.0 ,138.0 ,128.0 ,None ,51.0 ,43.0 ,182.0
11:15, 691.0 ,401.0 ,378.0 ,132.0 ,128.0 ,122.0 ,136.0 ,44.0 ,34.0 ,None ,None ,None ,None ,106.0 ,93.0 ,None ,None ,None ,None ,43.0 ,None ,None ,51.0 ,228.0 ,97.0 ,None ,128.0 ,25.0 ,177.0
11:45, 425.0 ,406.0 ,511.0 ,117.0 ,34.0 ,112.0 ,54.0 ,117.0 ,36.0 ,None ,None ,None ,None ,91.0 ,61.0 ,None ,None ,None ,None ,190.0 ,None ,None ,32.0 ,165.0 ,89.0 ,None ,130.0 ,95.0 ,275.0
12:15, 254.0 ,278.0 ,169.0 ,68.0 ,33.0 ,178.0 ,89.0 ,71.0 ,50.0 ,None ,None ,None ,None ,136.0 ,114.0 ,None ,None ,None ,None ,178.0 ,None ,None ,40.0 ,175.0 ,50.0 ,None ,122.0 ,111.0 ,339.0
12:45, 378.0 ,422.0 ,180.0 ,178.0 ,51.0 ,211.0 ,151.0 ,61.0 ,38.0 ,None ,None ,None ,None ,99.0 ,102.0 ,None ,None ,None ,None ,258.0 ,None ,None ,40.0 ,189.0 ,100.0 ,None ,40.0 ,21.0 ,425.0
13:15, 217.0 ,383.0 ,264.0 ,356.0 ,102.0 ,140.0 ,293.0 ,86.0 ,106.0 ,None ,None ,None ,None ,23.0 ,61.0 ,None ,None ,None ,None ,302.0 ,None ,None ,19.0 ,89.0 ,99.0 ,None ,14.0 ,25.0 ,306.0
13:45, 121.0 ,332.0 ,306.0 ,104.0 ,58.0 ,178.0 ,189.0 ,134.0 ,62.0 ,None ,None ,None ,None ,97.0 ,36.0 ,None ,None ,None ,None ,117.0 ,None ,None ,19.0 ,78.0 ,23.0 ,None ,28.0 ,32.0 ,214.0
14:15, 121.0 ,294.0 ,272.0 ,141.0 ,56.0 ,97.0 ,188.0 ,36.0 ,54.0 ,None ,None ,None ,None ,36.0 ,78.0 ,None ,None ,None ,None ,100.0 ,None ,None ,21.0 ,60.0 ,77.0 ,None ,61.0 ,52.0 ,183.0
14:45, 84.0 ,261.0 ,200.0 ,210.0 ,128.0 ,56.0 ,267.0 ,40.0 ,51.0 ,None ,None ,None ,None ,81.0 ,90.0 ,None ,None ,None ,None ,225.0 ,None ,None ,34.0 ,44.0 ,127.0 ,None ,152.0 ,22.0 ,299.0
15:15, 200.0 ,278.0 ,183.0 ,234.0 ,88.0 ,208.0 ,198.0 ,41.0 ,105.0 ,None ,None ,None ,None ,69.0 ,77.0 ,None ,None ,None ,None ,161.0 ,None ,None ,27.0 ,190.0 ,100.0 ,None ,44.0 ,39.0 ,267.0
15:45, 210.0 ,186.0 ,104.0 ,156.0 ,111.0 ,100.0 ,187.0 ,69.0 ,50.0 ,None ,None ,None ,None ,44.0 ,117.0 ,None ,None ,None ,None ,143.0 ,None ,None ,28.0 ,50.0 ,95.0 ,None ,89.0 ,34.0 ,223.0
16:15, 294.0 ,154.0 ,233.0 ,167.0 ,132.0 ,114.0 ,192.0 ,212.0 ,28.0 ,None ,None ,None ,None ,128.0 ,62.0 ,None ,None ,None ,None ,171.0 ,None ,None ,40.0 ,97.0 ,49.0 ,None ,43.0 ,73.0 ,286.0
16:45, 384.0 ,290.0 ,296.0 ,228.0 ,39.0 ,88.0 ,121.0 ,134.0 ,21.0 ,None ,None ,None ,None ,115.0 ,39.0 ,None ,None ,None ,None ,114.0 ,None ,None ,15.0 ,147.0 ,91.0 ,None ,60.0 ,67.0 ,341.0
17:15, 25.0 ,204.0 ,56.0 ,312.0 ,67.0 ,86.0 ,181.0 ,197.0 ,156.0 ,None ,None ,None ,None ,134.0 ,80.0 ,None ,None ,None ,None ,106.0 ,None ,None ,37.0 ,156.0 ,154.0 ,None ,83.0 ,41.0 ,283.0
17:45, None ,339.0 ,0.0 ,306.0 ,78.0 ,101.0 ,146.0 ,282.0 ,106.0 ,None ,None ,None ,None ,108.0 ,75.0 ,None ,None ,None ,None ,83.0 ,None ,None ,37.0 ,200.0 ,172.0 ,None ,62.0 ,17.0 ,244.0
18:15, None ,None ,None ,25.0 ,106.0 ,62.0 ,175.0 ,209.0 ,128.0 ,None ,None ,None ,None ,123.0 ,100.0 ,None ,None ,None ,None ,162.0 ,None ,None ,6.0 ,249.0 ,67.0 ,None ,22.0 ,39.0 ,19.0
18:45, None ,None ,None ,0.0 ,117.0 ,56.0 ,280.0 ,225.0 ,90.0 ,None ,None ,None ,None ,89.0 ,114.0 ,None ,None ,None ,None ,44.0 ,None ,None ,0.0 ,124.0 ,6.0 ,None ,22.0 ,72.0 ,96.0
19:15, None ,None ,None ,None ,56.0 ,25.0 ,0.0 ,56.0 ,6.0 ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,25.0 ,None ,None ,0.0 ,0.0 ,0.0 ,None ,None ,None ,25.0
19:45, None ,None ,None ,None ,0.0 ,None ,None ,6.0 ,None ,None ,None ,None ,None ,0.0 ,0.0 ,None ,None ,None ,None ,None ,None ,None ,0.0 ,25.0 ,None ,None ,None ,None ,0.0
20:15, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
20:45, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
21:15, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
21:45, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
