 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
07:45, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
08:15, 68.0 ,22.0 ,35.0 ,20.0 ,38.0 ,18.0 ,15.0 ,20.0 ,10.0 ,None ,None ,None ,None ,None ,30.0 ,None ,None ,None ,None ,20.0 ,None ,None ,30.0 ,45.0 ,32.0 ,None ,30.0 ,42.0 ,40.0
08:45, 245.0 ,50.0 ,62.0 ,65.0 ,18.0 ,62.0 ,30.0 ,48.0 ,15.0 ,None ,None ,None ,None ,None ,30.0 ,None ,None ,None ,None ,20.0 ,None ,None ,5.0 ,18.0 ,18.0 ,None ,5.0 ,25.0 ,18.0
09:15, 295.0 ,95.0 ,90.0 ,88.0 ,58.0 ,100.0 ,150.0 ,68.0 ,40.0 ,None ,None ,None ,None ,None ,50.0 ,None ,None ,None ,None ,52.0 ,None ,None ,10.0 ,18.0 ,30.0 ,None ,10.0 ,10.0 ,52.0
09:45, 335.0 ,100.0 ,145.0 ,115.0 ,58.0 ,110.0 ,165.0 ,72.0 ,58.0 ,None ,None ,None ,None ,None ,65.0 ,None ,None ,None ,None ,58.0 ,None ,None ,12.0 ,18.0 ,25.0 ,None ,22.0 ,10.0 ,65.0
10:15, 325.0 ,115.0 ,165.0 ,150.0 ,80.0 ,115.0 ,125.0 ,112.0 ,82.0 ,None ,None ,None ,None ,None ,80.0 ,None ,None ,None ,None ,78.0 ,None ,None ,28.0 ,55.0 ,60.0 ,None ,35.0 ,55.0 ,70.0
10:45, 310.0 ,130.0 ,180.0 ,160.0 ,100.0 ,125.0 ,125.0 ,102.0 ,78.0 ,None ,None ,None ,None ,None ,65.0 ,None ,None ,None ,None ,90.0 ,None ,None ,28.0 ,80.0 ,62.0 ,None ,42.0 ,55.0 ,95.0
11:15, 290.0 ,105.0 ,140.0 ,150.0 ,90.0 ,110.0 ,120.0 ,92.0 ,78.0 ,None ,None ,None ,None ,None ,58.0 ,None ,None ,None ,None ,100.0 ,None ,None ,30.0 ,78.0 ,68.0 ,None ,42.0 ,48.0 ,98.0
11:45, 295.0 ,100.0 ,140.0 ,150.0 ,100.0 ,120.0 ,120.0 ,92.0 ,78.0 ,None ,None ,None ,None ,None ,55.0 ,None ,None ,None ,None ,110.0 ,None ,None ,22.0 ,85.0 ,68.0 ,None ,42.0 ,50.0 ,98.0
