 ,ドラえもんXR, ハリドリ, バックドロップ, フラダイ, ジュラパライド, ミニオンライド, ハリポタジャーニー, スパイダーマン, ヒッポグリフ, セサミ4D, シュレック4D, おさるのジョージ, シング, ジョーズ, ミニオンアイス, ターミネーター, スタジオ スヌーピー, スタジオ ミニオン, バックドラフト, フライングスヌ, スヌーピーレース, キティ リボン, キティ カップ, エルモスケボー, バルーントリップ, ビッグドライブ, リトルドライブ, ビックトップサーカス, バブルバブル
07:15, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
07:45, None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None ,None
08:15, 56.0 ,56.0 ,225.0 ,0.0 ,506.0 ,6.0 ,0.0 ,0.0 ,0.0 ,None ,None ,None ,None ,None ,0.0 ,None ,None ,None ,None ,100.0 ,None ,None ,0.0 ,225.0 ,756.0 ,None ,0.0 ,1056.0 ,400.0
08:45, 1225.0 ,25.0 ,6.0 ,25.0 ,156.0 ,56.0 ,25.0 ,56.0 ,25.0 ,None ,None ,None ,None ,None ,0.0 ,None ,None ,None ,None ,0.0 ,None ,None ,0.0 ,156.0 ,156.0 ,None ,0.0 ,400.0 ,156.0
09:15, 625.0 ,25.0 ,900.0 ,156.0 ,506.0 ,900.0 ,900.0 ,6.0 ,400.0 ,None ,None ,None ,None ,None ,400.0 ,None ,None ,None ,None ,56.0 ,None ,None ,0.0 ,56.0 ,25.0 ,None ,0.0 ,25.0 ,506.0
09:45, 625.0 ,0.0 ,225.0 ,225.0 ,506.0 ,900.0 ,225.0 ,6.0 ,6.0 ,None ,None ,None ,None ,None ,25.0 ,None ,None ,None ,None ,6.0 ,None ,None ,6.0 ,56.0 ,25.0 ,None ,156.0 ,25.0 ,625.0
10:15, 1225.0 ,25.0 ,1225.0 ,400.0 ,400.0 ,625.0 ,625.0 ,756.0 ,306.0 ,None ,None ,None ,None ,None ,100.0 ,None ,None ,None ,None ,506.0 ,None ,None ,56.0 ,25.0 ,225.0 ,None ,0.0 ,225.0 ,400.0
10:45, 2500.0 ,0.0 ,1600.0 ,100.0 ,0.0 ,625.0 ,625.0 ,56.0 ,156.0 ,None ,None ,None ,None ,None ,25.0 ,None ,None ,None ,None ,100.0 ,None ,None ,56.0 ,100.0 ,306.0 ,None ,56.0 ,225.0 ,25.0
11:15, 2500.0 ,225.0 ,100.0 ,0.0 ,100.0 ,100.0 ,400.0 ,56.0 ,156.0 ,None ,None ,None ,None ,None ,156.0 ,None ,None ,None ,None ,400.0 ,None ,None ,0.0 ,156.0 ,56.0 ,None ,56.0 ,56.0 ,56.0
11:45, 2025.0 ,400.0 ,100.0 ,0.0 ,400.0 ,0.0 ,400.0 ,56.0 ,156.0 ,None ,None ,None ,None ,None ,225.0 ,None ,None ,None ,None ,100.0 ,None ,None ,56.0 ,25.0 ,56.0 ,None ,56.0 ,25.0 ,56.0
