名前,x座標,y座標,所要時間,列,idタグ,url
エントランス（出入口）,80,190,0,0,None,None
ハリウッド・ドリーム・ザ・ライド,130,170,3,2,32,https://www.usj.co.jp/web/ja/jp/attractions/hollywood-dream-the-ride
ハリウッド・ドリーム・ザ・ライド ～バックドロップ～,120,175,3,3,34,https://www.usj.co.jp/web/ja/jp/attractions/hollywood-dream-the-ride-backdrop
ザ・フライング・ダイナソー,230,80,3,4,12,https://www.usj.co.jp/web/ja/jp/attractions/the-flying-dinosaur
ジュラシック・パーク・ザ・ライド,230,90,7,5,18,https://www.usj.co.jp/web/ja/jp/attractions/jurassic-park-the-ride
ミニオン・ハチャメチャ・ライド,170,35,18,6,58,https://www.usj.co.jp/web/ja/jp/attractions/despicable-me-minion-mayhem
ハリー・ポッター・アンド・ザ・フォービドゥン・ジャーニー,200,270,5,7,36,https://www.usj.co.jp/web/ja/jp/attractions/harry-potter-and-the-forbidden-journey
アメージング・アドベンチャー・オブ・スパイダーマン・ザ・ライド 4K3D,120,60,5,8,4,https://www.usj.co.jp/web/ja/jp/attractions/the-amazing-adventures-of-spider-man-the-ride
フライト・オブ・ザ・ヒッポグリフ,190,240,2,9,50,https://www.usj.co.jp/web/ja/jp/attractions/flight-of-the-hippogriff
ジョーズ,200,150,7,14,20,https://www.usj.co.jp/web/ja/jp/attractions/jaws
ミニオン・ハチャメチャ・アイス,165,50,2,15,56,https://www.usj.co.jp/web/ja/jp/attractions/freeze-ray-sliders
フライング・スヌーピー,160,180,3,20,52,https://www.usj.co.jp/web/ja/jp/attractions/the-flying-snoopy
ハローキティのカップケーキ・ドリーム,155,190,2,23,38,https://www.usj.co.jp/web/ja/jp/attractions/hello-kittys-cupcake-dream
エルモのゴーゴー・スケートボード,140,195,2,24,6,https://www.usj.co.jp/web/ja/jp/attractions/elmos-go-go-skateboard
モッピーのバルーン・トリップ,140,205,2,25,60,https://www.usj.co.jp/web/ja/jp/attractions/moppys-balloon-trip
エルモのリトル・ドライブ,150,210,2,27,10,https://www.usj.co.jp/web/ja/jp/attractions/elmos-little-drive
ビッグバードのビッグトップ・サーカス,160,205,2,28,44,https://www.usj.co.jp/web/ja/jp/attractions/big-birds-big-top-circus
エルモのバブル・バブル,145,235,3,29,8,https://www.usj.co.jp/web/ja/jp/attractions/elmos-bubble-bubble
